epoch: 0 batch_idx:116501, train_loss: 1.0878629493095633
epoch: 0 batch_idx:117001, train_loss: 1.087733324825366
epoch: 0 batch_idx:117501, train_loss: 1.0873388226084564
epoch: 0 batch_idx:118001, train_loss: 1.0872429869604558
epoch: 0 batch_idx:118501, train_loss: 1.087006724657737
epoch: 0 batch_idx:119001, train_loss: 1.086779310407977
epoch: 0 batch_idx:119501, train_loss: 1.0867226262058851
epoch: 0 batch_idx:120001, train_loss: 1.086305032538418
epoch: 0 batch_idx:120501, train_loss: 1.0861373057225288
epoch: 0 batch_idx:121001, train_loss: 1.0859495478175607
epoch: 0 batch_idx:121501, train_loss: 1.0856186656673423
epoch: 0 batch_idx:122001, train_loss: 1.0852830716317092
epoch: 0 batch_idx:122501, train_loss: 1.0850030495479663
epoch: 0 batch_idx:123001, train_loss: 1.0850086377126313
epoch: 0 batch_idx:123501, train_loss: 1.0848098001359772
epoch: 0 batch_idx:124001, train_loss: 1.0847435342434086
epoch: 0 batch_idx:124501, train_loss: 1.0847670457761949
epoch: 0 batch_idx:125001, train_loss: 1.0844716692285994
epoch: 0 batch_idx:125501, train_loss: 1.0843690179309398
epoch: 0 batch_idx:126001, train_loss: 1.0842131608931376
epoch: 0 batch_idx:126501, train_loss: 1.0840587298043984
epoch: 0 batch_idx:127001, train_loss: 1.0837348306666084
epoch: 0 batch_idx:127501, train_loss: 1.083623321458687
epoch: 0 batch_idx:128001, train_loss: 1.083227372624024
epoch: 0 batch_idx:128501, train_loss: 1.0828548093755146
epoch: 0 batch_idx:129001, train_loss: 1.0829057055275304
epoch: 0 batch_idx:129501, train_loss: 1.08255848203887
epoch: 0 batch_idx:130001, train_loss: 1.0822899946020275
epoch: 0 batch_idx:130501, train_loss: 1.0822192336028176
epoch: 0 batch_idx:131001, train_loss: 1.0820837118560356
epoch: 0 batch_idx:131501, train_loss: 1.0818146455702968
epoch: 0 batch_idx:132001, train_loss: 1.081710501137062
epoch: 0 batch_idx:132501, train_loss: 1.0815732314123765
epoch: 0 batch_idx:133001, train_loss: 1.081490443190478
epoch: 0 batch_idx:133501, train_loss: 1.0815179217092112
epoch: 0 batch_idx:134001, train_loss: 1.0814564090821879
epoch: 0 batch_idx:134501, train_loss: 1.081310007531553
epoch: 0 batch_idx:135001, train_loss: 1.081036908028378
epoch: 0 batch_idx:135501, train_loss: 1.0808759741077918
epoch: 0 batch_idx:136001, train_loss: 1.0807521562339952
epoch: 0 batch_idx:136501, train_loss: 1.0806105594051059
epoch: 0 batch_idx:137001, train_loss: 1.0802876919247726
epoch: 0 batch_idx:137501, train_loss: 1.0800597726704801
epoch: 0 batch_idx:138001, train_loss: 1.0797927393400688
epoch: 0 batch_idx:138501, train_loss: 1.079908301827422
epoch: 0 batch_idx:139001, train_loss: 1.0797844472400224
epoch: 0 batch_idx:139501, train_loss: 1.0796596705832646
epoch: 0 batch_idx:140001, train_loss: 1.0793642463351676
epoch: 0 batch_idx:140501, train_loss: 1.0792277395703451
epoch: 0 batch_idx:141001, train_loss: 1.0790334174753078
epoch: 0 batch_idx:141501, train_loss: 1.078890692360378
epoch: 0 batch_idx:142001, train_loss: 1.0786699710635144
epoch: 0 batch_idx:142501, train_loss: 1.0787069706725987
epoch: 0 batch_idx:143001, train_loss: 1.0783143735432774
epoch: 0 batch_idx:143501, train_loss: 1.0780384405132009
epoch: 0 batch_idx:144001, train_loss: 1.077938711334836
epoch: 0 batch_idx:144501, train_loss: 1.0778570939680414
epoch: 0 batch_idx:145001, train_loss: 1.0778048877110205
epoch: 0 batch_idx:145501, train_loss: 1.0775463994743975
epoch: 0 batch_idx:146001, train_loss: 1.0775394332079278
epoch: 0 batch_idx:146501, train_loss: 1.0772829089255984
epoch: 0 batch_idx:147001, train_loss: 1.0770736354781052
epoch: 0 batch_idx:147501, train_loss: 1.0767700036746874
epoch: 0 batch_idx:148001, train_loss: 1.076585010760647
epoch: 0 batch_idx:148501, train_loss: 1.0763777363991258
epoch: 0 batch_idx:149001, train_loss: 1.0762283030194284
epoch: 0 batch_idx:149501, train_loss: 1.0761629312427259
epoch: 0 batch_idx:150001, train_loss: 1.0759745456503753
epoch: 0 batch_idx:150501, train_loss: 1.0760039831011992
epoch: 0 batch_idx:151001, train_loss: 1.0759757215379284
epoch: 0 batch_idx:151501, train_loss: 1.07579560225363
epoch: 0 batch_idx:152001, train_loss: 1.075657687179466
epoch: 0 batch_idx:152501, train_loss: 1.075443027517141
epoch: 0 batch_idx:153001, train_loss: 1.0754243948272515
epoch: 0 batch_idx:153501, train_loss: 1.0755129464710471
epoch: 0 batch_idx:154001, train_loss: 1.0753047611226751
epoch: 0 batch_idx:154501, train_loss: 1.0749520334256333
epoch: 0 batch_idx:155001, train_loss: 1.074752208775502
epoch: 0 batch_idx:155501, train_loss: 1.0744451386210507
epoch: 0 batch_idx:156001, train_loss: 1.0743766168805005
